SYMBOL,NAME,INDUSTRY,MARKET_CAP
ADPT,Adaptive Biotechnologies,Life Sciences Tools & Services,1805771004
ADRA,Adara Acquisition,Blank Check / SPAC,142887490
ADSE,ADS-TEC Energy Public Limited Company,Electrical Equipment & Parts,390951279
ADSK,Autodesk,Software,49377234720
ADT,ADT Inc.,Commercial Services & Supplies,7319159804
ADTH,AdTheorent Holding Company,Advertising Agencies,236946974
ADTN,ADTRAN Holdings,Communications Equipment,1872017897
ADTX,Aditx,Biotechnology,9434808
ADUS,Addus HomeCare,Health Care Providers & Services,1498523063
ADV,Advantage Solutions,Advertising Agencies,1372747899
ADVM,Adverum Biotechnologies,Biotechnology,149143294
ADXN,Addex Therapeutics,Biotechnology,11137175
ADXS,Advaxis,Biotechnology,6171423
AE,Adams Resources & Energy,"Oil, Gas & Consumable Fuels",153312201
AEAC,Authentic Equity Acquisition,Blank Check / SPAC,297000009
AEAE,AltEnergy Acquisition,Blank Check / SPAC,287500000
AEE,Ameren,Multi-Utilities,24294625224
AEG,Aegon,Insurance,10084294653
AEHA,Aesther Healthcare Acquisition,Blank Check / SPAC,134498250
AEHL,Antelope Enterprise Holdings,Building Products & Equipment,6899405
AEHR,Aehr Test Systems,Semiconductors & Semiconductor Equipment,442341587
AEI,Alset EHome International,Real Estate-Development,52734839
AEIS,Advanced Energy Industries,Semiconductors & Semiconductor Equipment,3518930910
AEL,American Equity Investment Life Holding Company,Insurance,3844784626
AEM,Agnico Eagle Mines,Metals & Mining,20464343028
AEMD,Aethlon Medical,Health Care Equipment & Supplies,30686000
AENZ,Aenza,Engineering & Construction,268123518
AEO,American Eagle Outfitters,Specialty Retail,2110748920
AEP,American Electric Power Company,Electric Utilities,51989880800
AER,AerCap Holdings,Trading Companies & Distributors,11902696400
AERC,AeroClean Technologies,Pollution & Treatment Controls,80125760
AERI,Aerie Pharmaceuticals,Pharmaceuticals,547401279
AES,The AES Corporation,Independent Power and Renewable Elect...,16264194044
AESE,Allied Esports Entertainment,"Hotels, Restaurants & Leisure",61413534
AEVA,Aeva Technologies,Auto Parts,869022015
AEY,ADDvantage Technologies Group,"Electronic Equipment, Instruments & C...",18640057
AEYE,AudioEye,Software,78132680
AEZS,AEterna Zentaris,Biotechnology,24133718
AFAC,Arena Fortify Acquisition,Blank Check / SPAC,217565625
AFAQ,AF Acquisition,Blank Check / SPAC,275240000
AFBI,Affinity Bancshares,Banks,96548759
AFCG,AFC Gamma,REIT-Specialty,357346490
AFG,American Financial Group,Insurance,11308701684
AFIB,Acutus Medical,Medical Devices,47038254
AFL,Aflac,Insurance,39583219680
AFMD,Affimed,Biotechnology,449450205
AFRI,Forafric Global,Farm Products,237070265
AFRM,Affirm Holdings,IT Services,10589318135
