,OPEN,CLOSE,HIGH,LOW,ADJCLOSE,DATE,VOLUME,RSI_10,RSI_25,EMA_10,EMA_25,EMA_50,PGO_10,PGO_25,VIA_15,VIB_15,VIA_30,VIB_30,BOP,NAT_30,ETP_10,ETP_25,MAD_10,MAD_25,SIN_25,SIN_50,LIN_10,LIN_90,PREDICTION,TARGET_DIFF,TARGET_PCNT,TARGET_HI,TARGET_LO
111,0.14007,0.14007,0.14118,0.14007,0.10917,1981-05-22,31427200,75.87639,62.74407,0.12826,0.12502,0.12333,4.92214,4.54497,-0.3219,-0.35234,-0.35628,-0.37134,0.0,2.45022,3.34737,4.75325,0.0047,0.00332,0.88249,0.86458,0.13163,0.11839,0,-0.00056,0.9375,0.14007,0.13951
112,0.14007,0.13951,0.14007,0.13951,0.10874,1981-05-26,85344000,74.34409,62.22485,0.1303,0.12614,0.12397,4.01874,4.06067,-0.31756,-0.33178,-0.35493,-0.36248,-1.0,2.32724,3.36858,4.76694,0.00623,0.00355,0.97949,0.9439,0.13517,0.11955,0,0.0,1.0,0.14788,0.14732
113,0.14732,0.14732,0.14788,0.14732,0.11483,1981-05-27,149497600,80.45916,66.27875,0.1334,0.12777,0.12488,5.49166,6.15191,-0.31323,-0.32119,-0.36138,-0.35822,0.0,2.42823,3.39591,4.77937,0.00819,0.00456,0.99888,0.98804,0.14025,0.12103,0,0.0,1.0,0.14788,0.14732
114,0.14732,0.14732,0.14788,0.14732,0.11483,1981-05-28,73987200,80.45916,66.27875,0.13593,0.12927,0.12576,4.57665,5.88822,-0.29337,-0.31281,-0.36778,-0.35945,0.0,2.2961,3.41993,4.78705,0.0091,0.00564,0.99905,0.99741,0.14419,0.12268,0,0.0,1.0,0.14844,0.14788
115,0.14788,0.14788,0.14844,0.14788,0.11526,1981-05-29,59382400,80.86294,66.55798,0.1381,0.1307,0.12663,3.86987,5.84631,-0.26671,-0.29958,-0.36778,-0.3635,0.0,2.18869,3.44225,4.79173,0.0091,0.00663,0.98985,0.99913,0.14698,0.12426,0,0.0,1.0,0.14844,0.14788
116,0.14788,0.14788,0.14844,0.14788,0.11526,1981-06-01,51251200,80.86294,66.55798,0.13988,0.13202,0.12746,3.13328,5.63224,-0.24666,-0.28001,-0.35616,-0.36477,0.0,2.07191,3.45617,4.7975,0.00859,0.00769,0.97075,0.99149,0.14896,0.12589,0,-0.00056,0.93794,0.14118,0.14062
117,0.14118,0.14062,0.14118,0.14062,0.10961,1981-06-02,40432000,60.76626,59.61405,0.14001,0.13269,0.12798,0.37617,3.22702,-0.23997,-0.26001,-0.34456,-0.36003,-1.0,2.3714,3.45485,4.7977,0.00696,0.00825,0.81966,0.9549,0.14806,0.12725,0,0.0,1.0,0.14174,0.14062
118,0.14062,0.14062,0.14174,0.14062,0.10961,1981-06-03,39446400,60.76626,59.61405,0.14012,0.1333,0.12848,-0.17315,3.04925,-0.24156,-0.24692,-0.33939,-0.35143,0.0,2.26979,3.45409,4.79993,0.00513,0.00867,0.26804,0.80122,0.1462,0.1286,0,0.0,1.0,0.14397,0.14342
119,0.14342,0.14342,0.14397,0.14342,0.11178,1981-06-04,56067200,64.9177,61.30354,0.14072,0.13408,0.12906,0.17357,3.68145,-0.24129,-0.24183,-0.34065,-0.34412,0.0,2.23259,3.44962,4.80603,0.00391,0.00907,-0.76478,0.38699,0.14492,0.13002,0,-0.00056,0.93823,0.14174,0.14118
120,0.14174,0.14118,0.14174,0.14118,0.11004,1981-06-05,57680000,59.33672,59.23841,0.14081,0.13462,0.12954,-0.74507,2.81256,-0.23187,-0.23959,-0.3457,-0.34172,-1.0,2.22406,3.43219,4.80755,0.00321,0.00933,-0.9798,-0.74164,0.14324,0.13133,0,-0.00056,0.93604,0.13672,0.13616
121,0.13672,0.13616,0.13672,0.13616,0.10613,1981-06-08,93497600,48.87412,54.91951,0.13996,0.13474,0.1298,-2.16877,1.13968,-0.22498,-0.23548,-0.34956,-0.34361,-1.0,2.39514,3.40225,4.80447,0.00357,0.00929,-0.93002,-0.9602,0.14061,0.13232,0,0.0,1.0,0.13951,0.13895
122,0.13895,0.13895,0.13951,0.13895,0.1083,1981-06-09,119593600,53.8944,56.74523,0.13978,0.13506,0.13016,-1.28484,1.8431,-0.23374,-0.23146,-0.34843,-0.3466,0.0,2.35117,3.37955,4.80479,0.00363,0.00928,-0.9613,-0.96749,0.13889,0.13333,0,0.0,1.0,0.1423,0.14062
123,0.14062,0.14062,0.1423,0.14062,0.10961,1981-06-10,25222400,56.72081,57.81057,0.13993,0.13549,0.13057,-0.56419,2.17177,-0.24397,-0.23221,-0.3331,-0.3458,0.0,2.32705,3.35324,4.80731,0.00333,0.00921,-0.91607,-0.99172,0.13871,0.13425,0,0.0,1.0,0.14732,0.14676
124,0.14676,0.14676,0.14732,0.14676,0.11439,1981-06-11,38976000,65.38864,61.44714,0.14117,0.13636,0.1312,1.3019,3.75119,-0.23729,-0.23628,-0.30661,-0.33654,0.0,2.38038,3.33882,4.81858,0.00326,0.00914,-0.29368,-0.8319,0.14061,0.13527,0,-0.00056,0.93985,0.14565,0.14509
125,0.14565,0.14509,0.14565,0.14509,0.11309,1981-06-12,25804800,61.65684,59.98231,0.14188,0.13703,0.13175,0.87975,2.97003,-0.22651,-0.23713,-0.28823,-0.31935,-1.0,2.3267,3.32587,4.8264,0.00293,0.00896,0.62961,-0.11149,0.14212,0.13629,0,-0.00056,0.93956,0.14509,0.14453
126,0.14509,0.14453,0.14509,0.14453,0.11265,1981-06-15,143763200,60.37307,59.48696,0.14237,0.13761,0.13225,0.82128,2.56004,-0.24604,-0.23627,-0.28937,-0.30203,-1.0,2.21002,3.31615,4.83208,0.00252,0.0087,0.97615,0.7779,0.14358,0.13737,0,-0.00056,0.93838,0.1423,0.14174
127,0.1423,0.14174,0.1423,0.14174,0.11048,1981-06-16,37251200,54.13361,57.04225,0.14225,0.13792,0.13262,-0.05068,1.46359,-0.28871,-0.24518,-0.30532,-0.29452,-1.0,2.23513,3.31428,4.83752,0.00243,0.00814,0.88064,0.98757,0.14341,0.13832,0,-0.00056,0.9375,0.14007,0.13951
128,0.14007,0.13951,0.14007,0.13951,0.10874,1981-06-17,27574400,49.58275,55.15504,0.14175,0.13805,0.13289,-0.70343,0.56514,-0.33065,-0.27111,-0.32057,-0.2997,-1.0,2.22747,3.31198,4.84049,0.00252,0.0074,0.25296,0.81813,0.14254,0.13917,0,-0.00056,0.93735,0.14007,0.13895
129,0.13951,0.13895,0.14007,0.13895,0.1083,1981-06-18,23049600,48.44636,54.6818,0.14124,0.13812,0.13313,-0.75494,0.1796,-0.36733,-0.30868,-0.32454,-0.31095,-0.5,2.14416,3.30803,4.84316,0.00254,0.0065,-0.6509,0.10897,0.14193,0.13985,0,-0.00055,0.93662,0.1356,0.13505
130,0.1356,0.13505,0.1356,0.13505,0.10526,1981-06-19,27507200,41.14865,51.47762,0.14012,0.13788,0.1332,-1.81209,-1.21808,-0.4057,-0.3484,-0.32588,-0.32024,-1.0,2.25007,3.30348,4.84338,0.00304,0.00564,-0.94306,-0.76139,0.14008,0.14035,0,-0.00056,0.93327,0.13058,0.13002
131,0.13058,0.13002,0.13058,0.13002,0.10134,1981-06-22,10841600,33.84305,47.72086,0.13828,0.13728,0.13308,-3.2143,-2.87201,-0.4515,-0.38804,-0.33474,-0.32602,-1.0,2.43592,3.29896,4.8357,0.00363,0.00527,-0.93639,-0.91418,0.13635,0.14053,0,0.0,1.0,0.13337,0.13225
132,0.13225,0.13225,0.13337,0.13225,0.10308,1981-06-23,15030400,39.16362,49.42535,0.13719,0.13689,0.13305,-2.28614,-2.27031,-0.4783,-0.42667,-0.34347,-0.33154,0.0,2.40377,3.29461,4.82758,0.00431,0.0049,-0.98376,-0.96641,0.1339,0.14078,0,-0.00111,0.8754,0.13002,0.12891
133,0.13002,0.12891,0.13002,0.12891,0.10047,1981-06-24,23027200,34.54073,47.03292,0.13568,0.13628,0.13288,-2.96624,-3.38609,-0.49564,-0.46016,-0.35336,-0.33928,-1.0,2.4741,3.28398,4.81833,0.00538,0.00463,-0.9949,-0.99691,0.13099,0.14082,0,0.0,1.0,0.13225,0.1317
134,0.1317,0.1317,0.13225,0.1317,0.10265,1981-06-25,24259200,41.00422,49.17366,0.13496,0.13592,0.13284,-1.6014,-2.58144,-0.51241,-0.4853,-0.36353,-0.34866,0.0,2.42907,3.27124,4.80761,0.00519,0.0044,-0.98198,-0.99649,0.13021,0.14102,0,-0.00112,0.8754,0.13114,0.13002
135,0.13114,0.13002,0.13114,0.13002,0.10134,1981-06-26,23788800,38.46322,47.95789,0.13406,0.13547,0.13273,-1.66641,-3.06028,-0.53691,-0.50522,-0.3744,-0.35861,-1.0,2.38508,3.25995,4.78877,0.00473,0.00458,-0.9396,-0.98017,0.12935,0.14125,0,-0.00111,0.8726,0.12667,0.12556
136,0.12667,0.12556,0.12667,0.12556,0.09786,1981-06-29,10595200,32.519,44.88879,0.13251,0.13471,0.13245,-2.47298,-4.26992,-0.56419,-0.52641,-0.39122,-0.37007,-1.0,2.53963,3.2451,4.76138,0.00435,0.0052,-0.96885,-0.98308,0.12776,0.14113,0,-0.00056,0.92593,0.11663,0.11607
137,0.11663,0.11607,0.11663,0.11607,0.09047,1981-06-30,35907200,23.8169,39.31253,0.12952,0.13327,0.1318,-4.49145,-6.89468,-0.58556,-0.55003,-0.41528,-0.38501,-1.0,3.09751,3.2232,4.72709,0.00469,0.00633,-0.87919,-0.97348,0.12384,0.14046,0,-0.00055,0.9265,0.11551,0.11496
138,0.11551,0.11496,0.11551,0.11496,0.0896,1981-07-01,170464000,23.01644,38.7264,0.12688,0.13186,0.13114,-4.01978,-6.81631,-0.6275,-0.57732,-0.44661,-0.40567,-1.0,2.98795,3.20583,4.68638,0.00569,0.00717,-0.94184,-0.94364,0.1204,0.13977,0,0.0,1.0,0.11551,0.11496
139,0.11496,0.11496,0.11551,0.11496,0.0896,1981-07-02,30284800,23.01644,38.7264,0.12471,0.13056,0.13051,-3.31296,-6.41534,-0.68227,-0.6121,-0.47067,-0.43095,0.0,2.82604,3.19208,4.64765,0.00645,0.00783,-0.99448,-0.98143,0.11791,0.13899,0,-0.00111,0.85837,0.11216,0.11105
140,0.11216,0.11105,0.11216,0.11105,0.08656,1981-07-06,16531200,20.08139,36.63847,0.12223,0.12906,0.12974,-3.76721,-7.16199,-0.73173,-0.65614,-0.48724,-0.45618,-1.0,2.96396,3.18001,4.60639,0.00743,0.00857,-0.99451,-0.99944,0.11479,0.13819,0,0.0,1.0,0.11328,0.11216
141,0.11216,0.11216,0.11328,0.11216,0.08743,1981-07-07,15836800,23.1717,37.63282,0.1204,0.12776,0.12906,-2.91125,-6.38027,-0.74211,-0.6996,-0.50403,-0.47774,0.0,2.87357,3.17866,4.5683,0.00792,0.00908,-0.99268,-0.99796,0.11234,0.13747,0,0.0,1.0,0.11719,0.11663
142,0.11663,0.11663,0.11719,0.11663,0.09091,1981-07-08,16620800,34.50387,41.4849,0.11971,0.12691,0.12857,-1.07711,-4.69768,-0.71096,-0.72348,-0.5144,-0.4946,0.0,2.86339,3.18291,4.54301,0.00708,0.00949,-0.90343,-0.97875,0.11225,0.13702,0,-0.00056,0.92067,0.10826,0.1077
143,0.10826,0.1077,0.10826,0.1077,0.08395,1981-07-09,32883200,25.99336,36.76005,0.11753,0.12543,0.12775,-3.02553,-6.99668,-0.67151,-0.71823,-0.51632,-0.50674,-1.0,3.4357,3.17889,4.51016,0.00661,0.01025,-0.90425,-0.95527,0.10977,0.13621,0,-0.00056,0.91449,0.09989,0.09933
144,0.09989,0.09933,0.09989,0.09933,0.07742,1981-07-10,55171200,20.68097,33.08144,0.11422,0.12342,0.12664,-4.30287,-8.92307,-0.64848,-0.69259,-0.52046,-0.51432,-1.0,4.02851,3.1592,4.46786,0.00583,0.01126,-0.84942,-0.98419,0.10613,0.135,0,0.0,1.0,0.10212,0.10156
145,0.10156,0.10156,0.10212,0.10156,0.07916,1981-07-13,45740800,25.20609,34.88972,0.11192,0.12174,0.12565,-2.80661,-7.69903,-0.64305,-0.66566,-0.533,-0.52016,0.0,3.86309,3.14844,4.43211,0.00567,0.01217,-0.94004,-0.95983,0.10429,0.13389,0,0.0,1.0,0.10714,0.10603
146,0.10603,0.10603,0.10714,0.10603,0.08264,1981-07-14,19779200,33.63812,38.36718,0.11085,0.12053,0.12488,-1.04652,-5.93663,-0.62472,-0.64655,-0.54332,-0.52776,0.0,3.80104,3.15274,4.40751,0.00511,0.0128,-0.96004,-0.99242,0.10436,0.13296,0,0.0,1.0,0.10938,0.10882
147,0.10882,0.10882,0.10938,0.10882,0.08482,1981-07-15,10953600,38.45035,40.43554,0.11048,0.11963,0.12425,-0.12774,-4.70827,-0.59357,-0.6296,-0.53891,-0.53534,0.0,3.66325,3.174,4.38494,0.00463,0.01308,-0.77206,-0.95344,0.10481,0.13213,0,0.0,1.0,0.11272,0.11161
148,0.11161,0.11161,0.11272,0.11161,0.08699,1981-07-16,15232000,43.03975,42.44745,0.11068,0.11901,0.12376,0.66102,-3.51581,-0.55465,-0.60571,-0.52642,-0.53731,0.0,3.56669,3.1989,4.36554,0.0043,0.01302,-0.1054,-0.7606,0.10623,0.13124,0,0.0,1.0,0.11607,0.11551
149,0.11551,0.11551,0.11607,0.11551,0.09004,1981-07-17,19824000,48.95169,45.14533,0.11156,0.11874,0.12343,1.60869,-1.99449,-0.51973,-0.57348,-0.51618,-0.53169,0.0,3.47303,3.22677,4.34689,0.00435,0.01237,0.78413,0.02688,0.10892,0.1304,0,-0.00056,0.92067,0.10826,0.1077
150,0.10826,0.1077,0.10826,0.1077,0.08395,1981-07-20,23654400,39.76768,41.12401,0.11086,0.11789,0.12282,-0.24345,-3.7838,-0.488,-0.53839,-0.5121,-0.5227,-1.0,3.95241,3.2448,4.32356,0.00424,0.01187,0.94423,0.8354,0.1088,0.12914,0,-0.00056,0.92025,0.1077,0.10714
151,0.1077,0.10714,0.1077,0.10714,0.08351,1981-07-21,31942400,39.18202,40.85221,0.11018,0.11707,0.1222,-0.25667,-3.49091,-0.45895,-0.50484,-0.51206,-0.51584,-1.0,3.75047,3.25823,4.30238,0.00395,0.01118,0.69727,0.95717,0.10881,0.12792,0,-0.00112,0.84543,0.10212,0.101
152,0.10212,0.101,0.10212,0.101,0.07873,1981-07-22,22668800,33.22163,37.98498,0.10851,0.11583,0.12137,-1.34678,-4.73522,-0.44533,-0.47649,-0.51807,-0.51376,-1.0,4.114,3.25374,4.27913,0.00373,0.01056,-0.22324,0.57152,0.10783,0.12641,0,0.0,1.0,0.10435,0.10379
